side,path,bytes,sha256,creation_utc,modified_utc
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/README.md,14259,1A16E622442F1863CFC1E6C3DBB71C09BC1AFA94C7A4BFEBA485EDFA5F2B09DC,2026-08-18T12:18:44.7473816Z,2026-08-18T12:18:44.7473816Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/undercover-mode/SKILL.md,3959,0311F603CBF29B616AC196C4B91FFE8970EFD9326BAF6CD5EE4DFEFBD920CB8B,2026-08-18T12:18:44.8044954Z,2026-08-18T12:18:44.8044954Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/ultraplan/SKILL.md,7942,E70BAEBF2C5AC2E48B2AED570AB1862CF9815659DD1A90F208023D3AB98C4018,2026-08-18T12:18:44.8044954Z,2026-08-18T12:18:44.8044954Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/thinkback/SKILL.md,8003,B670CF0F0FDDA297B86CB18FAA810E0DD3E182FA2A5A56E081E15A19E93B1D43,2026-08-18T12:18:44.8024509Z,2026-08-18T12:18:44.8024509Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/stuck-recovery/SKILL.md,6477,63DC37E34E76D476D9C36D5CE57165405A3756E6A00D08D80EE1D873FE31B166,2026-08-18T12:18:44.8004118Z,2026-08-18T12:18:44.8004118Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/session-review/SKILL.md,5936,D0BA840FA1169A97C3287EAC9920193FFBC5581AB47CF344F106203406C24FFF,2026-08-18T12:18:44.7983685Z,2026-08-18T12:18:44.7983685Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/security-review/SKILL.md,7117,A3E567356C19BE639A1E1B44EBFBB936DD6691F5C0C4727F75B287C7D9A2E242,2026-08-18T12:18:44.7919606Z,2026-08-18T12:18:44.7919606Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/prompt-speculation/SKILL.md,5058,1021C912EF1D15B7E57A2CA782DE5F7B857BDDF4B0DA78836D556E7B10C13086,2026-08-18T12:18:44.7919606Z,2026-08-18T12:18:44.7919606Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/pr-autofix/SKILL.md,8114,CF2800BECFA56B45D9D9441DF470CE0DABBC246BA1CAF1DB959CF3B2B7CE14F2,2026-08-18T12:18:44.7919606Z,2026-08-18T12:18:44.7919606Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/magic-docs/SKILL.md,6511,ED92380893CD55807DC55DDA1AC73E93600B7291C65604FB6B5C38486484B4FB,2026-08-18T12:18:44.7919606Z,2026-08-18T12:18:44.7919606Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/kairos-session/SKILL.md,6953,02777B98397145F00A8E15900FE09BEDE3B0EB09205B88BDCFD1115CBBE9C83B,2026-08-18T12:18:44.7803572Z,2026-08-18T12:18:44.7803572Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/frustration-aware/SKILL.md,5551,5BC38391261803E0D0B3C2B7369D0FE05D19AB470F243C7C1FF6453D3F166C17,2026-08-18T12:18:44.7803572Z,2026-08-18T12:18:44.7803572Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/effort-estimate/SKILL.md,8954,BD38A229F65DAE0524CD2095E6F31A262FE11BF42C3EE4F9CEAAA45CF8C02753,2026-08-18T12:18:44.7803572Z,2026-08-18T12:18:44.7803572Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/coordinator-mode/SKILL.md,6466,66F4BEBCDDB656692F54C89BB811B34E1610A9B566D90BD53D27AA393F09349D,2026-08-18T12:18:44.7803572Z,2026-08-18T12:18:44.7803572Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/context-compression/SKILL.md,4362,BEBACD2C8918B8BF567F44D78BD7A0785D430D3BBDEDC97B6783C18F3EB1374A,2026-08-18T12:18:44.7803572Z,2026-08-18T12:18:44.7803572Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/codebase-insight/SKILL.md,8656,B2DA7BCC50AE6CE86B5B5E72C5BB7BB335C4F03281B6193B25D242A4D0BEC385,2026-08-18T12:18:44.7803572Z,2026-08-18T12:18:44.7803572Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/code-review/SKILL.md,8203,C031BD9E7D82CE74D45E2859AD52A68A885C8FBFD82934DF4A0BC3F9575CAADB,2026-08-18T12:18:44.7758904Z,2026-08-18T12:18:44.7758904Z
Legal-desktop,donors/claude-power-skills-main/claude-power-skills-main/skills/bughunter/SKILL.md,8420,7D3ED918E7B98D1FEC5A7C4AC5A8AFA790F03FC980B625396A027A29E974E250,2026-08-18T12:18:44.7758904Z,2026-08-18T12:18:44.7758904Z
