"legal_desktop_path","application_path","sha256","bytes"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/README.md","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/README.md","F58B5B17F83DB63C09A9F2C059EC435AC8A3FEB66F9337391ED5F3F62CFF4E63","2555"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/tailwind.config.js","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/tailwind.config.js","FC3E2E57AF0195295E7DE4CE80C88AC21F4B5F046BFF85ED5C13CAD0D7F1165A","1109"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/tsconfig.app.json","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/tsconfig.app.json","922BC5BFB41BDC0768023B2487D54B3AE23C587D999024D4F32CDE879AE6F4D8","732"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/tsconfig.json","docs/planning/original-context/main-donor-inspiration-content/legal-terminal-master/legal-terminal-master/webterm/tsconfig.json","770B4140BBB581E2DFD9EA9946FFC9C75A1D86BA7D2DB5F77C83E37CBDF9D808","119"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/tsconfig.json","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/tsconfig.json","770B4140BBB581E2DFD9EA9946FFC9C75A1D86BA7D2DB5F77C83E37CBDF9D808","119"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/tsconfig.node.json","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/tsconfig.node.json","C3DD0FB522FEBA3596713F51B95BD53D781D845D24AEDBFA2AC093D8B39C5120","653"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/vite.config.ts","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/vite.config.ts","77442032B3AEC81FABB6E41D22B8B44CC79BE5E5A01229D3EC278881C2B68791","482"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/App.css","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/src/App.css","A0715E0A09EDBD0FBDE65816A75E0FA0FC8B314C5260C0768C19BF3AAC22621A","606"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/App.tsx","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/src/App.tsx","F442CE540BB99AD9BD176526D0B631F98F78AE4AF1553F3A4744CDF051D226F6","896"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/index.css","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/src/index.css","8637F82E585A0B7FA69DC7F39D217B7AE378DE00128D0CA24F23151165A68661","1220"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/Layout.tsx","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/src/Layout.tsx","F2EBD73DA6D8076CCAC8E5B33C347CABF031348B03280797834D3DD9B80C82C4","1487"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/main.tsx","docs/planning/original-context/main-donor-inspiration-content/legal-terminal-master/legal-terminal-master/webterm/src/main.tsx","6E9E5807FCBD48B75A96DB5CBEF36C996262196BE42E6D4760DC86BABBE61AD2","230"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/main.tsx","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/src/main.tsx","6E9E5807FCBD48B75A96DB5CBEF36C996262196BE42E6D4760DC86BABBE61AD2","230"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/state/SessionContext.tsx","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/src/state/SessionContext.tsx","E929907A9FF8ECA1073CD330441AF4592E6E1648FFB3A9E1A3ACA1DD59CDEA7C","2168"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/pages/Home.tsx","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/src/pages/Home.tsx","1A6390D9F35FB9BAA67C19BCEEABAEC6A135A646D51E9411FEAB47B62BD058E1","5241"
"donors/LIGHT-2-main/LIGHT-2-main/frontend/src/pages/LangGraphVisualizer.tsx","docs/planning/original-context/main-donor-inspiration-content/extra non primamry donors/LIGHT-2-main/LIGHT-2-main/frontend/src/pages/LangGraphVisualizer.tsx","AB9ACAF9E51C8A87110C35CCE7A0CBE6303BC3213D8B4B9D729664B14E0436E3","26029"
